image,content1,content2,content3,mos_quality
midjourney_lowstep_075.jpg,A small red-haired girl stands beneath a huge pink octopus-like creature.,"The image has soft brushstrokes, dreamy colors and distinct subjects.",Encounter,2.429568642
sd1.5_lowstep_295.jpg,A glass hourglass sits on a sandy surface.,"The image has clear hourglass details, soft lighting, and warm color tones.",Hourglass,3.244560073
sd1.5_highcorr_172.jpg,A pixel art maze contains a monster in the center.,"The image shows distinct pixel patterns, clear maze lines and a visible monster.",Maze,1.92623748
sd1.5_lowstep_248.jpg,Long red hair covers parts of a person’s brown shirt and arm.,"The image has vivid red hair color, clear fabric texture, and soft background blur.",Redhair,3.195617381
sd1.5_lowstep_247.jpg,"The image shows a church interior with a central statue, wooden pews, and a high ceiling.","The image has clear details, warm colors, and sharp visual elements.",Church,2.193472252
midjourney_normal_292.jpg,A colorful jellyfish floats in dark water.,"The image shows vibrant colors, smooth textures, and distinct shapes of the jellyfish.",Jellyfish.,3.509228886
AttnGAN_normal_298.jpg,The painting depicts abstract shapes with dark borders and yellow interiors.,"The image has visible brushstrokes, distinct forms, and a muted background.",abstract,0.929411321
midjourney_lowstep_173.jpg,A blurry traditional building displays lit windows in darkness.,"The image has soft focus, muted colors, and indistinct details.",building,1.794295116
sd1.5_normal_018.jpg,A bearded man lifts the scanner lid of a white printer next to a black printer.,"The image has clear objects, bright lighting, and visible paper details.",Printers,3.718303223
xl2.2_normal_188.jpg,The image shows an elderly man with white hair and glasses.,"The image has bold colors, distinct brushstrokes and a clear subject.",Portrait,3.818072561
midjourney_lowstep_139.jpg,The image shows a warm sunset reflecting on a calm lake with dark trees.,"The image has soft colors, smooth transitions and a blurry appearance.",Sunset,1.921352979
midjourney_lowstep_113.jpg,The image shows vibrant blurred shapes against a dark background.,"The image displays soft color gradients, blurred edges, and a reflective lower section.",Abstract,0.977683949
DALLE2_normal_017.jpg,"Brown wood chips, a silver object, and a white sign cover the ground near a tree trunk.","The image has clear textures of wood chips, a silver object, and a tree trunk.",Arrangement,2.939794687
glide_normal_189.jpg,Tangled orange and blue forms fill the dark image.,"The image has tangled shapes, distinct orange and blue colors, and dark regions.",Tangled,0.885277112
midjourney_normal_132.jpg,A young woman lies on a cloth with a rainbow pattern and scattered small colorful objects.,"The image has vivid colors, clear details of the woman’s white outfit and scattered objects, and sharp focus.",Woman,3.896040489
xl2.2_normal_090.jpg,A girl with braids sits on green grass in a forest with small mushrooms.,"The image shows clear details, soft colors, and distinct lines.",MushroomGirl,3.188291344
xl2.2_normal_028.jpg,A woman with long red hair wears a black top.,"The image has clear details, vivid colors and smooth textures.",Portrait,3.908627165
AttnGAN_normal_090.jpg,The image displays a blurry reflection of dark structures in light water with red elements.,"The image has low sharpness, dull colors, and unclear details.",Reflection,1.209411183
