图像名,内容1,内容2,内容3,mos_quality
1600.AWGN.1.png,"The image shows a park with bright red tulips, a dark equestrian statue, a large white building, seated people, and green trees.","The image has sharp clarity, vivid red tulips, and clear details of the statue, building, people, and trees.",WhiteHouse,0.061989
1600.AWGN.2.png,"The image shows the White House, a black equestrian statue, bright red tulips, green grass, and people resting.","The image has high clarity, vivid colors, and clear details.",WhiteHouse,0.206245
1600.AWGN.3.png,"The image shows the White House, a bronze equestrian statue, vibrant red tulips, green lawns, and people enjoying the scene.","The image has clear details, vivid colors, and sharp contrasts between the white building, red flowers, and greenery.",WhiteHouse,0.262122
1600.AWGN.4.png,"The image shows the White House, a horse statue, vibrant red flowers, people, and green trees on a sunny day.","The image has clear details, vivid red flowers, well - defined structures, and natural greenery.",WhiteHouse,0.374632
1600.AWGN.5.png,"The image shows a white presidential building, bright red flowers, a dark equestrian statue, green trees, and people relaxing on grass.","The image has clear details, vivid red flowers, bright green grass, and distinguishable architectural elements.",WhiteHouse,0.467480
1600.BLUR.1.png,"The image shows a garden with bright red tulips, a horse statue, a white building, and people relaxing on green grass.","The image has vivid red tulips, clear details of the statue, building, and people, and a bright blue sky.",Garden,0.042668
1600.BLUR.2.png,"The image shows a white house, vibrant red tulips, a dark horse statue, and people relaxing on green grass with green trees under a blue sky.","The image has clear details, vivid red tulips, bright green trees, and a distinct white house.",WhiteHouse,0.142435
1600.BLUR.3.png,"The image shows the White House, a bronze equestrian statue, bright red flowers, people relaxing, and the Washington Monument.","The image has vivid colors, sharp details, and clear representations of the White House, flowers, and people.",WhiteHouse,0.341114
1600.BLUR.4.png,"The image shows a white building with vibrant red flowers, a dark equestrian statue, people, green trees, and a tall monument under a clear blue sky.","The image has vivid colors, clear details of a building, a statue, red flowers, people, and green trees.",WhiteHouse,0.471038
1600.BLUR.5.png,"The image shows a garden with vibrant red flowers, a dark horse statue, and a large gray building surrounded by green trees under a clear blue sky.","The image has vivid red flowers, a dark horse statue, a gray building, green trees, and a light blue sky.",garden,0.749795
1600.contrast.1.png,"The image shows the White House, a black equestrian statue, vibrant red flowers, and people in a green park.","The image has high clarity, vivid colors, and distinct details.",WhiteHouse,0.056181
1600.contrast.2.png,"The image shows a white building, a dark equestrian statue, bright red flowers, and people sitting on green grass.","The image has high clarity, vivid colors, and clear details of the building, statue, flowers, and people.",WhiteHouseGarden,0.200969
1600.contrast.3.png,"The image shows a white building, a bronze horse statue, bright red tulips, green trees, and people relaxing on grass.","The image has vivid red tulips, green grass, a white building, a bronze statue, and clear details of people and surroundings.",WhiteHouse,0.310325
1600.contrast.4.png,"The image depicts the White House, a bronze equestrian statue, vibrant red flowers, green trees, and people relaxing on grass.","The image has clear details, vivid red flowers, green foliage, and distinguishable architectural features.",WhiteHouse,0.370599
1600.contrast.5.png,"The image shows the White House, a bronze equestrian statue, bright red tulips, green grass, and people relaxing nearby.","The image has clear details, vivid red flowers, green grass, and distinct architectural and natural elements.",WhiteHouse,
1600.fnoise.1.png,"The image shows the White House with a flag, a dark equestrian statue, vibrant red flowers, green grass, and people relaxing on the lawn.","The image has clear details, vivid colors, and distinct elements including the building, statue, flowers, and people.",WhiteHouse,0.052376
1600.fnoise.2.png,"The image depicts the White House, a bronze horse statue, bright red flowers, green grass, and people relaxing nearby.","The image has clear details, vivid colors, and distinct elements like the building, statue, and flowers.",WhiteHouse,0.253058
1600.fnoise.3.png,"The image shows a garden with bright red flowers, a horse statue, people, and a white building with trees.","The image has vibrant colors, clear details of the flower bed, horse statue, and the white building with green trees.",WhiteHouse,0.375741
1600.fnoise.4.png,"The image depicts a white building, bright red tulips, a dark equestrian statue, green grass, and people relaxing in a park.","The image has vivid colors, clear details of the building, tulips, statue, and people.",WhiteHouse,0.489880
1600.fnoise.5.png,"The image depicts a large white building, a bronze horse statue, bright red flowers, and people sitting on green grass with colorful trees.","The image has vivid colors, clear details of the building, statue, flowers, and people, with a textured artistic appearance.",WhiteHouse,0.565219
1600.JPEG.1.png,"The image shows a white building, a dark statue, bright red flowers, people, green trees, and a clear sky.","The image has high clarity, vivid colors, and clear details.",WhiteHouse,0.012873
1600.JPEG.2.png,"The image shows a white building, a horse statue, bright red tulips, people, and green trees in a sunny park.","The image has high clarity, vivid red tulips, clear details of the building, statue, and people, and bright natural colors.",tulips,0.069148
1600.JPEG.3.png,"The image shows the White House, a horse statue, bright red tulips, green trees, and people sitting on grass.","The image has sharp details, vivid colors, and clear elements including the White House, flowers, and people.",WhiteHouse,0.196827
1600.JPEG.4.png,"The image shows a white columned building, a horse - mounted statue, bright red flowers, people, and green trees in a park.","The image has clear details, vivid red flowers, distinct building features, and sharp green trees.",WhiteHouse,0.501063
1600.JPEG.5.png,"The image depicts a park with a blue building, a dark equestrian statue, bright red flower beds, and several people.","The image has vivid colors, clear outlines of the building, statue, flower beds, and distinguishable people.",Park,0.687127
1600.jpeg2000.1.png,"The image depicts the White House with a dark equestrian statue, bright red tulips, green grass, and people relaxing in a sunny, tree - lined park.","The image has high clarity, vivid colors, and clear details of the building, statue, flowers, and people.",WhiteHouse,0.011967
1600.jpeg2000.2.png,"The image shows the White House, a bronze equestrian statue, bright red flowers, people relaxing on grass, and green trees under a clear blue sky.","The image has clear details, vibrant colors, and distinct elements including the White House, statue, flowers, and people.",WhiteHouse,0.135311
1600.jpeg2000.3.png,"The image shows a white house, bright red tulips, a dark statue, green trees, and people sitting on grass.","The image has clear details, vivid red tulips, distinct green trees, and recognizable structures like a white house and a dark statue.",WhiteHouse,0.364361
1600.jpeg2000.4.png,"The image shows a white building, bright red flowers, a dark statue, people, green trees, and a blue sky.","The image has a white building, vibrant red flowers, a dark statue, people, green trees, and a blue sky with distinguishable features.",WhiteHouse,0.575843
1600.jpeg2000.5.png,"The image shows a garden with red flowers, green grass, trees, and a blurred building.","The image has low clarity, blurred details, and muted colors.",garden,0.826916
aerial_city.AWGN.1.png,"The image shows a bustling city with tall skyscrapers, a wide river, and busy docks.","The image has clear details, distinct skyscrapers, and a visible cityscape.",Cityscape,0.031592
aerial_city.AWGN.2.png,"The image depicts a cityscape with tall buildings, a wide river, and a small green park.","The image has clear details, distinct buildings, and natural color tones.",cityscape,0.125135
aerial_city.AWGN.3.png,"The image shows a bustling cityscape with tall buildings, a wide river, and busy docks.","The image has detailed buildings, a broad river, and visible docks.",Cityscape,0.244957
aerial_city.AWGN.4.png,"The image depicts a city with tall buildings, a wide river, and busy docks.","The image has clear details, distinct buildings, and a visible river with docks.",cityscape,0.372947
aerial_city.AWGN.5.png,"The image shows a city with tall buildings, a large river, and several docks.","The image has discernible details of city buildings, a river, and docks with a textured appearance.",Cityscape,0.501263
aerial_city.BLUR.1.png,"The image shows a cityscape with tall buildings, a river, and docks.","The image has clear details, vivid colors, and a broad view of the cityscape.",cityscape,0.024984
aerial_city.BLUR.2.png,"The image shows a city with tall buildings, a wide river, and green spaces near docks.","The image has clear details, natural colors, and visible urban and water elements.",Cityscape,0.114349
aerial_city.BLUR.3.png,"The image shows a coastal city with tall skyscrapers, a wide river, and various docks.","The image has clear skyscraper details, a visible river, and distinct dock structures.",Cityscape,0.259421
aerial_city.BLUR.4.png,"The image depicts a city with tall buildings, a wide river, and busy docks by green areas.","The image has tall buildings, a wide river, and docks with clear details and green spaces.",cityscape,0.463945
aerial_city.BLUR.5.png,The image shows a blurry cityscape with buildings and water.,"The image has low clarity, blurry details and muted colors.",Cityscape,0.895963
aerial_city.contrast.1.png,"The image shows a busy city with tall skyscrapers, a wide river, and several boats.","The image has clear details, natural colors, and distinct city structures.",Cityscape,0.037807
aerial_city.contrast.2.png,"The image depicts a city with tall buildings, a green park, and water.","The image has high clarity, showing distinct buildings, a green park, and calm water.",cityscape,0.163089
aerial_city.contrast.3.png,"The image shows a city with tall buildings, a broad river, and various docks.","The image has distinct buildings, a detailed waterway, and clear waterfronts.",Cityscape,0.366567
aerial_city.contrast.4.png,"The image depicts a dense cityscape with tall buildings, a wide river, and multiple waterfront docks.","The image has clear details of tall buildings, a broad river, and various docks with a muted color palette.",cityscape,0.452587
aerial_city.contrast.5.png,"The image shows a dense cityscape with tall buildings, a wide river, and several docks.","The image has tall buildings, a wide river, and various urban and waterfront structures.",cityscape,
aerial_city.fnoise.1.png,"The image depicts a cityscape with tall buildings, a green park, and a river with docks and boats.","The image has clear details, distinct buildings, and a vivid view of a city with a river and docks.",Cityscape,0.125646
aerial_city.fnoise.2.png,"The image shows a coastal city with tall skyscrapers, a green park, and waterways with boats and docks.","The image has visible details, muted colors, and distinct urban and water features.",Cityscape,0.318731
aerial_city.fnoise.3.png,"The image depicts a cityscape with tall buildings, a broad river, and numerous docks.","The image has distinct buildings, visible waterways, and clear urban details.",Cityscape,0.475221
aerial_city.fnoise.4.png,"The image shows a city with tall buildings, a large river, and busy docks.","The image has clear buildings, a visible river, and detailed urban elements.",cityscape,0.600628
aerial_city.fnoise.5.png,"The image depicts a vibrant cityscape with tall skyscrapers, a blue river, and busy docks.","The image has vivid colors, tall skyscrapers, and clear waterways.",Cityscape,0.707734
aerial_city.JPEG.1.png,"The image depicts a city with tall skyscrapers, a wide river, and busy docks.","The image has clear details, distinct buildings, and a vivid cityscape.",cityscape,0.030282
aerial_city.JPEG.2.png,"The image depicts a vibrant cityscape with tall skyscrapers, a wide river, and active docks.","The image has clear details, distinct buildings, and a sharp urban landscape.",cityscape,0.064545
aerial_city.JPEG.3.png,"The image shows a bustling cityscape with tall buildings, a broad river, and several docks.","The image has clear details, vivid colors, and distinct city structures.",cityscape,0.388892
aerial_city.JPEG.4.png,"The image depicts a coastal city with tall buildings, a wide river, and busy docks.","The image has discernible city details, muted colors, and visible water and building structures.",Cityscape,0.607260
aerial_city.JPEG.5.png,"The image depicts a gray cityscape with tall buildings, a dark waterfront, and a purple sky.","The image has tall gray buildings, a purple sky, and distinct urban structures.",Cityscape,0.819082
aerial_city.jpeg2000.1.png,"The image depicts a cityscape with tall buildings, a wide river, and several boats.","The image has clear details, distinct buildings, and a visible river with boats.",Cityscape,0.027045
aerial_city.jpeg2000.2.png,"The image shows a coastal city with tall buildings, a green park, and dark water.","The image has clear details, distinct buildings, and natural colors.",Cityscape,0.191014
aerial_city.jpeg2000.3.png,"The image shows a city with tall buildings, a large river, and multiple docks.","The image has clear details of buildings, a river, and docks, with natural colors and discernible structures.",cityscape,0.485551
aerial_city.jpeg2000.4.png,"The image shows a coastal city with tall skyscrapers, a wide river, and waterfront docks.","The image has discernible urban structures, a grayish sky, and a calm water surface.",Cityscape,0.754413
aerial_city.jpeg2000.5.png,The image depicts blurry purple-hued indistinct shapes.,"The image exhibits low clarity, blurry details, and purple-dominated tones.",Blur,0.955908
boston.AWGN.1.png,"The image shows a city intersection with a red brick building, pedestrians walking, and a circular cobblestone design on the sidewalk.","The image has clear details, natural colors, and visible urban elements like buildings and pedestrians.",cityscape,0.029159
boston.AWGN.2.png,"The image shows a city intersection with a red brick building, pedestrians walking, and a circular stone pattern on the sidewalk.","The image has clear details, natural colors, and visible urban elements like buildings, pedestrians, and street designs.",cityscape,0.081368
boston.AWGN.3.png,"The image shows a city intersection with a historic brick building, a circular stone design, tall buildings, and people walking.","The image has clear details, distinct buildings, and visible street elements.",intersection,0.215496
boston.AWGN.4.png,"The image shows a city street with a red brick building, walking pedestrians, and a circular stone pattern on the sidewalk.","The image has clear details of a city street, a red brick building, pedestrians, and a circular stone pavement design.",city,0.383116
boston.AWGN.5.png,"The image depicts a city street with a historic red - brick building, a circular stone sidewalk design, and tall neighboring buildings.","The image has clear details of a red - brick building, a circular stone pattern, and city structures with natural color representation.",cityscape,0.471591
boston.BLUR.1.png,"The image shows a city intersection with a historic brick building, pedestrians, and a circular cobblestone pattern on the sidewalk.","The image has clear details of a city intersection, a brick building, pedestrians, and a circular cobblestone design.",intersection,0.083456
boston.BLUR.2.png,"The image shows a city intersection with a red brick building, pedestrians, and a circular cobblestone pattern.","The image has clear details, vivid colors, and distinguishable urban elements like a brick building, pedestrians, and a cobblestone design.",urban,0.215749
boston.BLUR.3.png,"The image shows a busy city intersection with a red brick building, a circular cobblestone pattern, and pedestrians.","The image has clear details of a city intersection, a red brick building, and a cobblestone circle.",cityscape,0.363120
boston.BLUR.4.png,"The image shows a city intersection with a red brick building, a circular stone pavement, and tall office buildings.","The image has a soft focus, muted colors, and recognizable urban structures.",cityscape,0.571217
boston.BLUR.5.png,"The blurry image shows a red building, a white area, and vague surroundings.","The image has low clarity, indistinct details, and muted colors.",Building,0.913013
boston.contrast.1.png,"The image depicts a city intersection with a red brick building, pedestrians walking, and a circular stone pattern on the sidewalk.","The image has clear details, natural colors, and distinct urban structures.",cityscape,0.116568
boston.contrast.2.png,"The image shows a city intersection with a red brick building, tall gray buildings, pedestrians, and a circular cobblestone pattern on the sidewalk.","The image has a red brick building, tall gray buildings, distinguishable pedestrians, and a distinct circular cobblestone design on the sidewalk.",intersection,0.339159
boston.contrast.3.png,"The image shows a city street with a red brick building, tall surrounding buildings, and people walking.","The image has visible architectural details, discernible pedestrians, and a muted color tone.",Cityscape,0.605352
boston.contrast.4.png,"The image shows a city street with a red brick building, tall gray buildings, and a circular cobblestone area on the sidewalk.","The image depicts a city street scene with a red brick building, tall gray buildings, a street, pedestrians, and a detailed circular cobblestone area on the sidewalk.",city,0.689729
boston.contrast.5.png,"The image shows a city street with a red brick building, tall gray buildings, and a circular cobblestone area.","The image has a red brick building, tall multi - story buildings, a paved street, and a circular cobblestone region with visible details.",cityscape,
boston.fnoise.1.png,"The image depicts a city intersection with a red-brick building, a circular stone sidewalk, and pedestrians walking.","The image has clear details, natural colors, and visible elements like the brick building, sidewalk pattern, and pedestrians.",Urban,0.067654
