图像名,内容1,内容2,内容3,mos_quality
i20_13_4.bmp,"The image shows a gray and yellow propeller airplane with ""SAL-SHOOTER"" text and a cartoon logo on its fuselage.","The image has clear details of the airplane’s structure, vibrant colors on the nose and graphics, and a grassy background with other aircraft.",Airplane,2.89189
i08_07_3.bmp,The image shows several colorful old buildings with tiled roofs arranged in a row.,"The image displays clear details, distinct colors, and visible architectural features.",Buildings,4.16667
i21_15_4.bmp,"The image shows a white lighthouse, a red - roofed house, and buildings on a rocky shore under a blue sky with clouds.","The image has clear details, vivid colors, and a sharp view of the lighthouse, house, and rocky coast.",lighthouse,3.76190
i15_08_3.bmp,A child has colorful face paint and wears a patterned sweater.,"The image presents a child with clear details, vivid colors, and sharp focus.",Child,5.13636
i02_05_5.bmp,The image shows a red wooden door with a white round knob and metal latch.,"The image has clear details, vivid red color, and distinguishable metal and white knob elements.",door,3.41667
i02_09_2.bmp,The red wooden door has a white knob and metal latches.,"The image shows a red door with a white knob, metal latches, visible wood grain, and chipped paint.",door,5.51429
i04_21_4.bmp,"A woman with blonde hair and blue eyes wears a red hat, pink clothing, and a white necklace while smiling.","The image displays a woman with blonde hair, blue eyes, a red hat, pink fabric, and a white necklace.",Woman,3.21951
i06_09_3.bmp,The sailboat ZENTIME floats on turquoise water near a green shore.,"The image has legible text, turquoise water, and a green shore with distinct details.",ZENTIME,4.86486
i16_13_2.bmp,"The image shows a calm ocean, a small island with tall palm trees, and a sky with fluffy white clouds.","The image has clear details of the ocean, the island’s palm trees, and the sky’s clouds with natural color tones.",Island,3.81579
i03_08_3.bmp,"Colorful (yellow, orange, green, pink) ""Bahamas"" hats hang on a wooden wall under a blue sky.","The image has vividly colored hats, legible ""Bahamas"" text, wooden surface texture, and a blue sky with clouds.",Hats,4.47368
i01_04_4.bmp,The image shows a stone building with a red door and red window shutters.,"The image has clear details of a stone wall, a red door, and red window shutters.",Facade,5.24324
i11_24_1.bmp,A small old sailboat is tied near a weathered wooden dock in turquoise water.,"The image has clear details, vivid turquoise water, and distinct textures of the boat and dock.",Sailboat,5.91892
i16_09_5.bmp,"The image shows a calm body of water, a distant green island, and a sky with white clouds.","The image has pixelated textures, blended colors, and indistinct details of water, a distant island, and a cloudy sky.",Seascape,2.34211
i11_04_3.bmp,A small weathered boat is tied near a rusty pier in turquoise water.,"The image has a boat, a rusty pier, and clear turquoise water with visible details.",Boat,5.28571
i16_02_3.bmp,"The image shows a calm ocean, a small island with palm trees, and a sky with fluffy clouds.","The image has a calm ocean, a palm - tree - filled island, and a sky with distinct clouds.",island,5.57500
i04_07_3.bmp,"The image shows a woman with blonde hair, a red hat, and a necklace.","The image has distinct colors, visible details, and a stylized representation of a woman.",Woman,3.52381
i10_09_5.bmp,The image shows a blurry sailboat with two people sailing on water.,"The image has low clarity, muted colors, and indistinct details.",sailboat,2.28205
i01_16_4.bmp,"The image depicts a stone building facade with a red door, red window shutters, and white-trimmed windows/door.","The image has clear stone textures, vivid red tones, and well - defined architectural details.",Facade,5.02778
i06_06_2.bmp,A small sailboat labeled ZEN TIME floats on turquoise water near a tree - lined shore.,"The image has legible text on the boat, textured water, and a shoreline with trees, captured with natural colors and subtle grain.",Sailboat,4.38889
i17_09_1.bmp,"A person with white face, gray curly hair wears a golden crown and white drapery against a stone background.","The image has clear details, vivid golden and white colors, and distinct surface textures.",Statue,6.02500
i10_14_2.bmp,"Two people ride a white sailboat with big sails in the water, near other sailboats.","The image shows sailboats with large sails, people in colorful jackets, and rippled water.",Sailboats,6.15385
i01_20_3.bmp,The image shows a stone building with a red door and red window shutters.,"The image has a stone wall, a red door, red shutters, and clear window panes.",Building,6.02778
i15_21_4.bmp,A child has colorful face paint and wears a red garment.,"The image has visible colors, distinct face paint details and a recognizable garment.",Child,3.11364
i24_22_1.bmp,"The house features colorful murals, a wooden balcony with flowers, and green shutters.","The image has clear details, vivid colors, and distinct architectural elements.",House,5.77143
i20_08_2.bmp,"The image shows a vintage fighter plane with yellow nose, black propeller, and ""Sli-Shooter"" label on a grassy field.","The image has clear details, distinct colors, and visible markings on the plane.",Airplane,5.29730
i03_01_3.bmp,"Brightly colored hats (yellow, orange, green, pink) with “Bahamas” text hang on a wooden wall under a blue sky.","The image has vivid colors, clear text on hats, distinct shadows, and a sharp blue sky backdrop.",Hats,4.68421
i16_18_2.bmp,"The image depicts a calm water surface, a small island with tall palm trees, and a sky with large white clouds.","The image has clear water, distinct palm trees, and a sky with well - defined white clouds.",island,4.39474
i13_08_5.bmp,A river flows through a green forested area with rocky banks and snowy mountains.,"The image has soft focus, natural green and brown colors, and visible landscape elements.",Landscape,1.73810
i22_02_4.bmp,A large red barn and a small red house stand beside a calm pond surrounded by green trees under a cloudy sky.,"The image depicts a red barn, a small red house, a calm pond, green trees, and a cloudy sky with visible reflections, natural color tones, and discernible details of the structures and landscape.",Barn,5.13158
i23_15_3.bmp,"Two colorful parrots, one green-yellow-blue and one red, appear with gray square patches against a blurry green background.","The image has vivid colors, clear details of the parrots, and a blurry green background.",parrots,3.25714
i21_12_1.bmp,"The image shows a white lighthouse, a red - roofed house, and red buildings on rocky terrain under a blue sky with clouds.","The image has clear details, vivid colors, and distinct elements like the lighthouse, buildings, terrain, and sky.",lighthouse,5.79070
i09_05_3.bmp,Sailboats with colorful sails carry people on a rippled water surface.,"The image has noticeable details, vivid colorful sails, and displays sailboats with people on a rippled water.",Sailboats,4.96875
i25_14_2.bmp,"The image displays various colorful patterns, text labels, and geometric shapes.","The image has clear text, distinct colorful patterns, and sharp geometric details.",Patterns,5.14286
i23_11_4.bmp,"Two colorful parrots (one green - yellow, one red) stand against a blurred green background.","The image has low clarity, blurred details and indistinct feather patterns.",Parrots,2.24242
