path,ContentDescription,QualityPerspective,Keyword,dmos
jp2k/img2.bmp,"A bronze statue of a man sits on a wooden bench and reads a book, with a brick wall, green plants, and dry leaves in the scene.","The image has high clarity, vivid colors, and clear details of the statue, bench, plants, and brick wall.",Statue,28.00384535689855
jp2k/img3.bmp,Several people in red life jackets paddle a yellow raft on turbulent whitewater.,"The image has people in red life jackets, a yellow raft, turbulent whitewater, and rocky shore details.",Rafting,34.01073628022137
jp2k/img4.bmp,Women in colorful dresses perform on a white stage decorated with flags for Cinco de Mayo.,"The image has visible dancers, colorful attire, and clear decorative elements (flags, signs).",CincoDeMayo,65.13140970686972
jp2k/img5.bmp,"The image shows a domed building and a columned building, with green trees, a blue sky, and paved roads.","The image has visible buildings, green trees, blue sky, and paved roads with clear architectural details.",Buildings,68.9113403034779
jp2k/img6.bmp,Five women in colorful traditional dresses dance on a white stage decorated with flags for Cinco de Mayo.,"The image has visible details, vibrant colors, and shows a festive outdoor scene with dancers, flags, and a stage.",CincoDeMayo,65.15010253306134
jp2k/img7.bmp,"The image shows a domed government building, a columned classical structure, green trees, paved roads, and a blue sky with clouds.","The image has high clarity, vivid colors, and clear details of architectural structures, trees, roads, and sky.",Capitol,54.39726604294797
jp2k/img8.bmp,A clear river flows through a rocky valley surrounded by lush green trees and distant snowy mountains.,"The image has a river with flowing water, detailed rocky shores, lush greenery, and snowy mountains with clear details.",River,44.39714490163311
jp2k/img10.bmp,A woman in a long black dress and white pearl necklaces poses beside a rusty metal sculpture and green plants.,"The image has clear details of a woman, vivid green foliage, and distinct rust patterns on the sculpture.",Woman,47.430013761380415
jp2k/img12.bmp,Multiple sailboats with numbered sails and people sail on wavy water.,"The image has clear details, visible text on sails, and distinct sailboats.",Sailing,41.412498424737386
jp2k/img13.bmp,"The image shows a row of colorful, traditional European buildings with distinct facades standing along a street against a hilly, tree-lined backdrop.","The image has sharp architectural details, vibrant color variations, and a recognizable hilly, tree-dotted background.",Buildings,49.58114313931159
jp2k/img14.bmp,"The house displays decorative murals, a red roof, and flower pots near trees and hills.","The image has clear details of the house’s murals, roof, and surroundings with vivid colors.",House,48.84324745450706
jp2k/img15.bmp,Motocross riders sit on colorful dirt bikes at a dirt race track.,"The image has clear details, vivid colors, and sharp focus on the riders and bikes.",Motocross,26.13791357747473
jp2k/img17.bmp,A river flows through a rocky valley with green trees and snow - capped mountains in the distance.,"The image has clear details, natural colors, and visible textures of the river, rocks, and surrounding vegetation.",River,62.47870390031039
jp2k/img18.bmp,"The image shows colorful stuffed animals (two dogs, three bears) hanging on a carnival game net.","The image has clear details, vivid colors, and shows the stuffed animals and carnival game net clearly.",CarnivalPrizes,37.598876406688994
jp2k/img19.bmp,A small sailboat named ZENTIME floats on turquoise water near a green shore with trees and buildings.,"The image shows a sailboat with clear details, vivid turquoise water, a green shoreline, and a softly lit sky with faint clouds.",Sailboat,19.966622257732254
jp2k/img21.bmp,A stone fountain with water and stacked stones sits among green plants and colorful flowers.,"The image has clear details, natural colors, and visible reflections in the water.",Fountain,32.69469883824849
jp2k/img23.bmp,A woman in a long black dress and white pearl necklaces poses against a rusty metal sculpture in a grassy area.,"The image shows a woman in a black dress, white pearl necklaces, a rusty metal sculpture, green foliage, and grassy terrain with clear details and natural colors.",Woman,41.92234749404617
jp2k/img26.bmp,"A person (in a hat and light clothing) sits on a bucket, fishes in a wide river, with a concrete bridge spanning the water under a partly cloudy sky.","The image depicts a person fishing on a wooden dock, with a river, a multi - arched bridge, and a partly cloudy sky, showing clear details and natural colors.",Fishing,25.34100953517368
jp2k/img27.bmp,"A red barn and a small red house reflect in a calm pond, with green trees, tall grass, and a cloudy sky surrounding them.","The image shows a red barn, a small house, a reflective pond, green trees, tall grass, and a cloudy sky with soft lighting and natural color tones.",Barn,50.83957042048765
jp2k/img28.bmp,"The image shows a stone fountain with water, a goldfish, and green plants.","The image has clear details of the stone fountain, water, goldfish, and surrounding greenery.",fountain,66.46194643940952
jp2k/img29.bmp,The image shows colorful historic buildings with gabled roofs and varied windows against a hilly tree - covered background.,"The image has distinct architectural details, varied vibrant facades, and a recognizable hilly background.",Buildings,61.41371716607372
jp2k/img30.bmp,"The image shows a small red-and-white building with green bushes, trees, and a pathway.","The image has legible text, green and red colors, and a pathway with surrounding greenery.",Building,69.29851565600342
jp2k/img31.bmp,The image shows a calm ocean surrounding a small island with tall palm trees under a blue sky with white clouds.,"The image has clear details of a calm ocean, a small island with tall palm trees, and a blue sky with white clouds.",Island,33.27987227548807
jp2k/img32.bmp,People in red life vests ride a yellow raft on turbulent water.,"The image shows a yellow raft with people in red vests, choppy water, and legible text.",Rafting,70.19193144078119
jp2k/img33.bmp,The image shows several colorful traditional buildings with steep roofs against a hilly tree - lined background.,"The image has distinct colors, clear architectural details, and visible background elements.",Buildings,53.846299781912535
jp2k/img34.bmp,A bronze statue of a boy sits on a wooden bench and reads a book.,"The image has clear details, natural colors, and visible textures of the statue, bench, and surroundings.",Statue,23.29290129605595
jp2k/img37.bmp,"The image shows a calm ocean surrounding a small island with tall palm trees, under a blue sky with white clouds.","The image has a calm ocean with visible ripples, a detailed island with palm trees, and a sky with distinct white clouds.",island,35.026816689501125
jp2k/img38.bmp,Several sailboats with numbered white sails and people in colorful jackets sail on the choppy water.,"The image has moderate clarity, visible colors, and distinguishable details of sailboats and people.",Sailboats,62.9003588494039
jp2k/img39.bmp,A small sailboat rests near an old rusty pier in turquoise water.,"The image has clear details, vivid turquoise water, and visible rust on the pier.",Sailboat,35.77898514989975
jp2k/img40.bmp,"The image shows a picturesque house with a painted facade, red tiled roof, balcony, and green trees/mountains in the background.","The image has clear details, vivid colors, and shows the house’s decorated exterior and natural surroundings.",House,69.8705581579566
jp2k/img41.bmp,"The image shows a red-and-white building with a paved pathway, green bushes, a white flowering bush, and leafy trees.","The image has clear details, natural colors, and distinct textures of the building, plants, and pathway.",building,47.53287130842447
jp2k/img42.bmp,"A woman with blonde hair wears a red hat, a beaded necklace, and smiles against a pink backdrop.","The image has high clarity, vivid colors, and clear details of the woman’s face, hat, and necklace.",Woman,54.8600288332968
jp2k/img43.bmp,A small sailboat labeled SENTIS floats on calm turquoise water near a tree - lined shore.,"The image shows a sailboat on turquoise water, with visible shore trees, a pale sky, and legible text on the boat.",Sailboat,64.16748927763923
jp2k/img44.bmp,"The image depicts a busy highway, vibrant wildflowers, and tall city buildings.","The image has a clear floral foreground, a visible highway, and distinguishable city buildings.",Cityscape,67.00586811025651
jp2k/img45.bmp,"The image shows two grand domed buildings (one with columns) surrounded by green trees, roads, and city structures under a partly cloudy blue sky.","The image has visible details of the columned building, the larger domed building, green trees, paved roads, and a sky with clouds.",Capitol,68.7833586829139
jp2k/img46.bmp,"The image shows a cemetery gate with a sign, a brick post, and tombstones near green grass and bare trees.","The image has legible text, distinct objects (brick post, metal gate, tombstones) and natural elements (trees, grass).",Cemetery,67.97348672924605
jp2k/img47.bmp,"A red barn stands by a pond, reflecting in its water, with a small red building, green trees, and grass nearby, under a cloudy sky.","The image has visible reflections, natural colors, and clear details of the barn, pond, trees, and grass.",Barn,50.5485771265556
jp2k/img48.bmp,"The image shows a cemetery with a black fence, a red brick pillar, and a sign welcoming respectful visitors.","The image has visible text, green grass, and distinguishable gravestones with a black fence and a red brick pillar.",Cemetery,70.96122360468537
jp2k/img49.bmp,Five colorful hats hang on a wooden board against a cloudy sky.,"The image has vivid colors, clear text on hats, and distinct shadows on the board.",Hats,26.67330248510648
jp2k/img51.bmp,"The image shows a white lighthouse, white buildings, a white picket fence, a red lifebuoy, and a black telescope on grass under a partly cloudy sky.","The image has clear details, vivid colors, and distinct elements including a lighthouse, buildings, fence, lifebuoy, and telescope.",lighthouse,31.359966179310835
jp2k/img52.bmp,A small sailboat is tied near a weathered wooden pier in turquoise water.,The image depicts a sailboat near a pier with clear turquoise water and visible weathered wood details.,Sailboat,52.45539930680104
jp2k/img53.bmp,"A vintage airplane with yellow nose, black propeller, and striped wings rests on green grass.","The image has clear details, vivid colors, and visible outlines of the airplane.",Airplane,60.60039324353364
jp2k/img55.bmp,Several sailboats with colorful sails sail on choppy water under a cloudy sky.,"The image shows sailboats with clear details, vivid colors, and visible water textures.",Sailing,49.04623820958027
jp2k/img56.bmp,A yellow and black monarch butterfly perches on small pink flowers.,"The image has clear details, vivid colors, and a softly blurred background.",Butterfly,45.83052553848261
jp2k/img58.bmp,A vintage fighter plane with a yellow nose and black - white wings rests on a grassy field.,"The image has clear details, natural colors, and a grassy field backdrop.",Airplane,21.24474002721652
jp2k/img59.bmp,Several colorful sailboats carry people on rippled water.,"The image has clear details, vivid colors, and shows sailboats with people on rippled water.",sailboats,24.26413610892305
jp2k/img60.bmp,"A bronze statue of a man sits on a wooden bench, reading a book, with another book beside him, amidst green plants and a stone wall.","The image displays a bronze statue, a wooden bench, green plants, and a stone wall, with distinguishable features of the statue, bench, foliage, and backdrop.",statue,61.178399664208015
jp2k/img61.bmp,A monarch butterfly rests on small pink flowers.,"The image has clear details, vivid colors, and a soft background with a butterfly on flowers.",Butterfly,32.095586985956885
jp2k/img62.bmp,People sail colorful sailboats on the water.,"The image has clear details, vivid colors, and visible water ripples.",Sailing,21.7373924049672
jp2k/img63.bmp,"A person in a hat sits on a white bucket and fishes near a calm river, with a large bridge spanning the water in the background.","The image has good clarity, natural colors, and distinct details of a person, a river, and a bridge.",Fishing,37.97355042079033
jp2k/img65.bmp,"The image shows women in colorful dresses dancing on a white outdoor stage with flags and a ""Cinco de Mayo"" sign.","The image has discernible details, vibrant colors, and outdoor scene elements.",Cinco,74.71223055356742
jp2k/img68.bmp,"Five colorful hats (yellow, orange, green, pink, blue) hang on a wooden wall against a cloudy sky.","The image has clear details, vivid colors, and distinct shadows.",Hats,34.49728356748708
jp2k/img69.bmp,"The image shows a calm ocean, a small island with green palm trees, and a blue sky with white clouds.","The image has a calm blue ocean, a lush green island with palm trees, and a sky with white clouds.",island,21.33143389738949
jp2k/img71.bmp,A river flows through a rocky valley with green trees and a snowy mountain.,"The image displays a natural landscape with visible details of the river, rocks, trees, and mountain.",Landscape,72.81703406181643
jp2k/img74.bmp,"The image shows a tall white lighthouse, red - roofed houses, and rocky shoreline by blue ocean under a clear sky.","The image has high clarity, vivid colors, and clear details of the lighthouse, houses, and rocky coast.",Lighthouse,53.34011511136505
